Županija,Ukupno birača,Glasovalo birača,Važeći listići,Nevažeći listići,NEDJELJKO BABIĆ,ANTO ĐAPIĆ,KOLINDA GRABAR-KITAROVIĆ,DARIO JURIČAN,MISLAV KOLAKUŠIĆ,DEJAN KOVAČ,ZORAN MILANOVIĆ,DALIJA OREŠKOVIĆ,KATARINA PEOVIĆ,IVAN PERNAR,MIROSLAV ŠKORO
BJELOVARSKO-BILOGORSKA ŽUPANIJA,96483,48450,47999,449,64,74,12863,1159,2812,903,13272,1078,391,1203,14180
BRODSKO-POSAVSKA ŽUPANIJA,133397,65183,64311,864,35,147,19863,1438,3985,500,13374,1075,385,1704,21805
DUBROVAČKO-NERETVANSKA ŽUPANIJA,107631,55188,54221,955,54,137,20327,2219,2687,376,14232,1206,458,1205,11320
GRAD ZAGREB,693899,381976,377730,3938,566,612,73958,33145,22688,4377,126142,13616,5413,6323,90890
ISTARSKA ŽUPANIJA,185670,88035,86869,1145,147,111,10693,4577,6081,1013,45145,4563,2573,3707,8259
KARLOVAČKA ŽUPANIJA,107827,57526,56870,649,70,133,19285,1585,2616,393,16253,1418,465,1153,13499
KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA,93108,46629,46155,472,65,78,12307,1439,2872,481,14593,1311,364,1304,11341
KRAPINSKO-ZAGORSKA ŽUPANIJA,108400,54783,54115,662,656,67,14698,1860,3556,469,19482,1667,370,1652,9638
LIČKO-SENJSKA ŽUPANIJA,42849,21019,20753,264,30,74,9102,399,869,129,4403,451,143,323,4830
MEĐIMURSKA ŽUPANIJA,95840,48229,47831,396,97,51,8347,1579,3620,612,22066,1820,409,1770,7460
OSJEČKO-BARANJSKA ŽUPANIJA,249085,127100,125645,1424,85,491,33980,3460,7272,901,27710,2642,1030,2808,45266
POŽEŠKO-SLAVONSKA ŽUPANIJA,64044,35758,35339,415,21,45,10877,673,1865,224,6974,542,204,777,13137
PRIMORSKO-GORANSKA ŽUPANIJA,261760,125646,124205,1401,208,252,27964,6402,8808,1341,49193,6745,2784,3198,17310
SISAČKO-MOSLAVAČKA ŽUPANIJA,141335,67200,66384,807,80,132,20423,1945,3531,732,17790,1358,515,1600,18278
SPLITSKO-DALMATINSKA ŽUPANIJA,404750,198425,195434,2925,155,558,64221,9636,10475,1316,48953,4000,2029,3753,50338
VARAŽDINSKA ŽUPANIJA,145506,75630,74758,868,143,103,16694,2470,6377,721,28506,2437,666,2425,14216
VIROVITIČKO-PODRAVSKA ŽUPANIJA,69520,38134,37718,411,30,76,12446,689,1899,310,8661,661,186,878,11882
VUKOVARSKO-SRIJEMSKA ŽUPANIJA,146958,68684,67772,899,62,171,20849,1412,3342,965,13159,1048,589,1609,24566
ZADARSKA ŽUPANIJA,160257,71598,70580,1007,100,190,26341,2845,3666,560,17780,1963,663,1591,14881
ZAGREBAČKA ŽUPANIJA,273405,144768,143215,1523,288,261,34854,6937,9792,1400,41579,4452,1146,3636,38870
inozemstvo,40782,40782,40647,127,13,105,21790,339,706,79,2360,202,211,491,14351
ŠIBENSKO-KNINSKA ŽUPANIJA,97235,43718,43092,617,45,133,15746,1675,2397,305,11156,908,393,947,9387
