Županija,Ukupno birača,Glasovalo birača,Važeći listići,Nevažeći listići,ZORAN MILANOVIĆ,KOLINDA GRABAR-KITAROVIĆ
BJELOVARSKO-BILOGORSKA ŽUPANIJA,96509,51456,49218,2234,25398,23820
BRODSKO-POSAVSKA ŽUPANIJA,133461,66392,62887,3500,26657,36230
DUBROVAČKO-NERETVANSKA ŽUPANIJA,107714,58474,55696,2769,24219,31477
GRAD ZAGREB,694639,401011,381296,19467,227609,153687
ISTARSKA ŽUPANIJA,185765,98104,95193,2896,76946,18247
KARLOVAČKA ŽUPANIJA,107840,63242,60783,2441,28306,32477
KOPRIVNIČKO-KRIŽEVAČKA ŽUPANIJA,93167,50101,47980,2116,27076,20904
KRAPINSKO-ZAGORSKA ŽUPANIJA,108452,61959,59757,2201,35936,23821
LIČKO-SENJSKA ŽUPANIJA,42867,23306,22541,765,8167,14374
MEĐIMURSKA ŽUPANIJA,95914,54673,53175,1491,39574,13601
OSJEČKO-BARANJSKA ŽUPANIJA,249283,129383,123005,6344,56428,66577
POŽEŠKO-SLAVONSKA ŽUPANIJA,64093,35561,33407,2149,14284,19123
PRIMORSKO-GORANSKA ŽUPANIJA,261902,135865,130687,5133,84856,45831
SISAČKO-MOSLAVAČKA ŽUPANIJA,141362,73378,70111,3256,32937,37174
SPLITSKO-DALMATINSKA ŽUPANIJA,405173,219960,209478,10419,87503,121975
VARAŽDINSKA ŽUPANIJA,145596,84180,81066,3108,54024,27042
VIROVITIČKO-PODRAVSKA ŽUPANIJA,69548,38842,36980,1859,17432,19548
VUKOVARSKO-SRIJEMSKA ŽUPANIJA,146989,70384,66706,3665,26722,39984
ZADARSKA ŽUPANIJA,160441,81469,78093,3367,33622,44471
ZAGREBAČKA ŽUPANIJA,273722,153274,145848,7383,79499,66349
inozemstvo,52373,52373,51533,838,6222,45311
ŠIBENSKO-KNINSKA ŽUPANIJA,97305,50461,48437,2014,20753,27684
